PLN-MM/YY,Sales_Doc.,Item,V,Loaded_line,New_Plan,Sold_to_party,Country_Key,Destination,Material,CUST_THICKNESS,CUST_WIDTH,KS_GRADE01,ZINC01,Remain_GRF,Destination,Creation,CBE$,BM$
202310,30079276,20,3007927620,CR,2024 Jan,L0056,Egypt,Local,CRCF,3,1250,DC01,,6,Corporate,CPT,2110,2938
202401,30081591,10,3008159110,PP,2024 Jan,L0076,Egypt,Local,POCF,0.4,1250,DX51D,80,20,Service Center,EXW,1570,2515
202401,30081591,20,3008159120,PP,2024 Jan,L0076,Egypt,Local,POCF,0.4,1250,DX51D,80,20,Service Center,EXW,1770,2515
202401,30081591,30,3008159130,PP,2024 Jan,L0076,Egypt,Local,POCF,,1250,DX51D,120,40,Service Center,EXW,1570,2508
202401,30081591,40,3008159140,PP,2024 Jan,L0076,Egypt,Local,POCF,0.5,1250,DX51D,180,40,Service Center,EXW,1770,2574
202401,30081591,50,3008159150,PP,2024 Jan,L0076,Egypt,Local,POCF,0.5,1250,DX51D,180,40,,EXW,1890,2574
202309,30078038,10,3007803810,PP,2024 Jan,L0078,Egypt,Local,POSF,0.4,716,DX52D,120,1.9,,EXW,2330,4320
202309,30078038,20,3007803820,PP,2024 Jan,L0078,Egypt,Local,POSF,0.4,699.8,DX52D,120,1.7,,EXW,2330,4320
202309,30078038,30,3007803830,PP,2024 Jan,L0078,Egypt,Local,POSF,0.4,699.8,DX52D,120,1.7,Large Corporate,EXW,2410,4320
202308,35005563,80,3500556380,GI,2024 Jan,E0078,Greece,Export,GCCF,1.7,1250,DX51D,100,11.16,Europe,FOB,1990,1990
202308,35005563,90,3500556390,GI,2024 Jan,E0078,Greece,Export,GHCF,2,1000,DX51D,100,25,Europe,FOB,1990,1990
202308,35005563,70,3500556370,GI,2024 Jan,E0078,Greece,Export,GCCF,1.65,1250,DX51D,100,98.77,Europe,FOB,1990,1990
202308,35005563,30,3500556330,GI,2024 Jan,E0078,Greece,Export,GCCF,1,1000,DX51D,140,15.99,,FOB,2190,2190
202312,35005691,10,3500569110,GI,2024 Jan,E0109,Kenya,Export,GCRF,0.35,126,DX51D,100,112.94,,CFR,3450,3450
202401,30079565,10,3007956510,GI,2024 Jan,L0163,Egypt,Local,GCCF,1,1250,DX53D,80,200,,CPT,2330,2163
202401,30079565,20,3007956520,GI,2024 Jan,L0163,Egypt,Local,GCCF,1.2,,DX53D,80,30,,CPT,2330,2163
202401,30079565,30,3007956530,GI,2024 Jan,L0163,Egypt,Local,GCCF,1,1250,DX53D,275,30,,CPT,2530,2024
202302,30070095,90,3007009590,CR,2024 Jan,L0130,Egypt,Local,CRRF,0.6,470,DC04EK,,16.01,,CPT,2810,3085
202302,30070095,120,30070095120,GI,2024 Jan,L0130,Egypt,Local,GCNF,0.6,735,DX51D,60,35.325,,CPT,2270,3194
202311,30079992,10,3007999210,GI,2024 Jan,L0286,Egypt,Local,GHCF,,1250,DX51D,180,130,Corporate,EXW,1630,2810
202308,30077010,20,3007701020,GI,2024 Jan,L0157,Egypt,Local,GCGF,1,1250,DX51D,120,19.47,Projects,EXW,2150,2671
202302,30068426,30,3006842630,GI,2024 Jan,L0238,Egypt,Local,GCCF,0.7,1250,DX51D,80,39.35,Corporate,CPT,2230,2930
202302,30068426,10,3006842610,GI,2024 Jan,L0238,Egypt,Local,GCCF,1.8,1220,DX51D,80,19.03,Corporate,CPT,2030,2845
202401,35005703,10,3500570310,CR,2024 Jan,E0125,Poland,Export,CRCF,0.37,1250,DC01,,82.41,Europe,CFR,2590,2590
202401,35005703,20,3500570320,CR,2024 Jan,E0125,Poland,Export,CRCF,0.6,1000,DC01,,24,Europe,CFR,2590,2590
202401,35005703,30,3500570330,CR,2024 Jan,E0125,Poland,Export,CRCF,0.7,1000,DC01,,60,Europe,CFR,2590,2590
202312,30081055,10,3008105510,PP,2024 Jan,L0091,Egypt,Local,POCF,0.7,1250,DX51D,180,136,Corporate,CPT,2370,2503
202309,30077043,30,3007704330,PP,2024 Jan,L0131,Egypt,Local,POCF,0.4,1250,DX51D,120,7.46,Service Center,EXW,1770,3442
202309,30077043,140,30077043140,PP,2024 Jan,L0131,Egypt,Local,PLCF,0.4,1250,DX51D,60,6.01,Service Center,EXW,1770,3259
202309,30077043,120,30077043120,PP,2024 Jan,L0131,Egypt,Local,POCF,0.7,1250,DX51D,120,4.13,Service Center,EXW,1770,3185
202310,30079766,10,3007976610,GI,2024 Jan,L0181,Egypt,Local,GCSF,0.5,500,DX56D,60,20,Corporate,EXW,2270,3524
202310,30079766,20,3007976620,GI,2024 Jan,L0181,Egypt,Local,GCSF,0.6,625,DX56D,60,12.89,Corporate,EXW,2270,3506
202311,30079533,10,3007953310,CR,2024 Jan,L0084,Egypt,Local,CRSF,1,1250,DC01,,12.23,Corporate,CPT,2570,2892
202312,30081260,60,3008126060,PP,2024 Jan,L0051,Egypt,Local,POCF,0.7,1250,DX51D,120,50,High Tech industries,EXW,1890,2429
202312,30081260,70,3008126070,PP,2024 Jan,L0051,Egypt,Local,POCF,0.7,1250,DX51D,180,20,High Tech industries,EXW,1890,2630
202312,30081260,10,3008126010,PP,2024 Jan,L0051,Egypt,Local,PLCF,0.4,1250,DX51D,60,5,High Tech industries,EXW,1890,2451
202312,30081260,20,3008126020,PP,2024 Jan,L0051,Egypt,Local,POCF,0.5,1250,DX51D,80,5,High Tech industries,EXW,1890,2407
202312,30081260,30,3008126030,PP,2024 Jan,L0051,Egypt,Local,POCF,0.5,1250,DX51D,120,5,High Tech industries,EXW,1890,1512
202312,30081260,40,3008126040,PP,2024 Jan,L0051,Egypt,Local,POCF,0.5,1250,DX51D,80,5,High Tech industries,EXW,1890,2407
202312,30081260,50,3008126050,PP,2024 Jan,L0051,Egypt,Local,POCF,0.7,1250,DX51D,80,50,High Tech industries,EXW,1890,2340
202309,30076854,80,3007685480,GI,2024 Jan,L0106,Egypt,Local,GCRF,0.35,66.5,DX51D,80,29.65,Corporate,CPT,2830,3377
202309,30076854,90,3007685490,GI,2024 Jan,L0106,Egypt,Local,GCRF,0.35,91.5,DX51D,80,6,Corporate,CPT,2830,2264
202401,35005780,10,3500578010,CR,2024 Jan,E0118,Slovenia,Export,CRRF,0.3,55.8,DC04,,200,Europe,CIF,3370,3370
202401,35005780,20,3500578020,CR,2024 Jan,E0118,Slovenia,Export,CRRF,0.35,55.8,DC04,,125,Europe,CIF,3370,3370
202401,35005780,30,3500578030,CR,2024 Jan,E0118,Slovenia,Export,CRRF,0.4,55.8,DC04,,50,Europe,CIF,3170,3170
202401,35005780,40,3500578040,CR,2024 Jan,E0118,Slovenia,Export,CRRF,0.45,,DC04,,75,Europe,CIF,3170,3170
202401,35005780,50,3500578050,CR,2024 Jan,E0118,Slovenia,Export,CRRF,0.35,40.5,DC04,,25,Europe,CIF,3370,3370
202401,35005780,60,3500578060,CR,2024 Jan,E0118,Slovenia,Export,CRRF,0.4,40.5,DC04,,25,Europe,CIF,3170,3170
202401,35005780,70,3500578070,CR,2024 Jan,E0118,Slovenia,Export,CRRF,0.45,40.5,DC04,,25,Europe,CIF,3170,3170
202401,35005780,80,3500578080,CR,2024 Jan,E0118,Slovenia,Export,CRRF,0.6,40.5,DC04,,50,Europe,CIF,3170,3170
202401,35005714,10,3500571410,GI,2024 Jan,E0194,Canada,Export,GCCF,0.864,1219.2,S220GD,180,365,North America,FOB,2730,2730
202401,35005714,20,3500571420,GI,2024 Jan,E0194,Canada,Export,GCCF,0.864,1219.2,S220GD,275,523,North America,,3090,3090
202401,35005714,30,3500571430,GI,2024 Jan,E0194,Canada,Export,GCCF,1.118,1219.2,S220GD,180,455,North America,FOB,2730,2730
202401,35005714,40,3500571440,GI,2024 Jan,E0194,Canada,Export,GCCF,1.118,,S220GD,275,228,North America,FOB,2930,2930
202401,35005714,50,3500571450,GI,2024 Jan,E0194,Canada,Export,GCCF,1.372,1219.2,S350GD,180,135,North America,FOB,2710,2710
202401,35005714,60,3500571460,GI,2024 Jan,E0194,Canada,Export,GCCF,1.372,1219.2,S350GD,275,90,North America,FOB,2910,2910
202401,35005714,70,3500571470,GI,2024 Jan,E0194,Canada,Export,GCCF,1.728,1219.2,S350GD,180,90,North America,FOB,2710,2710
202401,35005714,80,3500571480,GI,2024 Jan,E0194,Canada,Export,GCCF,0.61,1219.2,DX51D,120,90,North America,FOB,2730,2730
202401,35005714,90,3500571490,GI,2024 Jan,E0194,Canada,Export,GCCF,0.387,1219.2,S350GD,120,2040,North America,FOB,2910,2910
