,Loaded_line,Destination,Material,CUST_THICKNESS,CUST_WIDTH,KS_GRADE01,ZINC01,Sector,Creation,CBE$
1,PP,Local,POCF,0.4,1250.0,Normal Grade,80.0,Local Traders,EXW,1570
2,PP,Local,POCF,0.4,1250.0,Normal Grade,80.0,Local Traders,EXW,1770
3,PP,Local,POCF,1.1400000000000001,1250.0,Normal Grade,120.0,Local Traders,EXW,1570
4,PP,Local,POCF,0.5,1250.0,Normal Grade,180.0,Local Traders,EXW,1770
8,PP,Local,POSF,0.4,699.8,Normal Grade,120.0,Local Companies,EXW,2410
9,GI,Export,GCCF,1.7,1250.0,Normal Grade,100.0,Export Near,FOB,1990
10,GI,Export,GHCF,2.0,1000.0,Normal Grade,100.0,Export Near,FOB,1990
11,GI,Export,GCCF,1.65,1250.0,Normal Grade,100.0,Export Near,FOB,1990
19,GI,Local,GHCF,1.1400000000000001,1250.0,Normal Grade,180.0,Local Companies,EXW,1630
20,GI,Local,GCGF,1.0,1250.0,Normal Grade,120.0,Local Companies,EXW,2150
21,GI,Local,GCCF,0.7,1250.0,Normal Grade,80.0,Local Companies,Other,2230
22,GI,Local,GCCF,1.8,1220.0,Normal Grade,80.0,Local Companies,Other,2030
23,CR,Export,CRCF,0.37,1250.0,Normal Grade,0.0,Export Near,Other,2590
24,CR,Export,CRCF,0.6,1000.0,Normal Grade,0.0,Export Near,Other,2590
25,CR,Export,CRCF,0.7,1000.0,Normal Grade,0.0,Export Near,Other,2590
26,PP,Local,POCF,0.7,1250.0,Normal Grade,180.0,Local Companies,Other,2370
27,PP,Local,POCF,0.4,1250.0,Normal Grade,120.0,Local Traders,EXW,1770
28,PP,Local,PLCF,0.4,1250.0,Normal Grade,60.0,Local Traders,EXW,1770
29,PP,Local,POCF,0.7,1250.0,Normal Grade,120.0,Local Traders,EXW,1770
30,GI,Local,GCSF,0.5,500.0,Special Grade,60.0,Local Companies,EXW,2270
31,GI,Local,GCSF,0.6,625.0,Special Grade,60.0,Local Companies,EXW,2270
32,CR,Local,CRSF,1.0,1250.0,Normal Grade,0.0,Local Companies,Other,2570
33,PP,Local,POCF,0.7,1250.0,Normal Grade,120.0,Local Companies,EXW,1890
34,PP,Local,POCF,0.7,1250.0,Normal Grade,180.0,Local Companies,EXW,1890
35,PP,Local,PLCF,0.4,1250.0,Normal Grade,60.0,Local Companies,EXW,1890
36,PP,Local,POCF,0.5,1250.0,Normal Grade,80.0,Local Companies,EXW,1890
37,PP,Local,POCF,0.5,1250.0,Normal Grade,120.0,Local Companies,EXW,1890
39,PP,Local,POCF,0.7,1250.0,Normal Grade,80.0,Local Companies,EXW,1890
45,CR,Export,CRRF,0.45,1021.6,Special Grade,0.0,Export Near,Other,3170
50,GI,Export,GCCF,0.864,1219.2,Normal Grade,180.0,Export Far,FOB,2730
51,GI,Export,GCCF,0.864,1219.2,Normal Grade,275.0,Export Far,EXW,3090
52,GI,Export,GCCF,1.118,1219.2,Normal Grade,180.0,Export Far,FOB,2730
53,GI,Export,GCCF,1.118,1219.1599999999999,Normal Grade,275.0,Export Far,FOB,2930
54,GI,Export,GCCF,1.372,1219.2,Special Grade,180.0,Export Far,FOB,2710
55,GI,Export,GCCF,1.372,1219.2,Special Grade,275.0,Export Far,FOB,2910
56,GI,Export,GCCF,1.728,1219.2,Special Grade,180.0,Export Far,FOB,2710
57,GI,Export,GCCF,0.61,1219.2,Normal Grade,120.0,Export Far,FOB,2730
58,GI,Export,GCCF,0.387,1219.2,Special Grade,120.0,Export Far,FOB,2910
59,GI,Export,GCCF,0.419,1219.2,Normal Grade,120.0,Export Far,FOB,2730
60,GI,Export,GCCF,0.482,1219.2,Normal Grade,120.0,Export Far,FOB,2730
61,GI,Local,GCPF,1.5,1000.0,Normal Grade,100.0,Local Companies,EXW,1950
62,GI,Local,GCCF,0.7,1250.0,Normal Grade,275.0,Local Traders,EXW,1830
63,GI,Local,GHCF,1.5,1250.0,Normal Grade,275.0,Local Traders,EXW,1630
64,GI,Local,GCNF,0.6,771.0,Normal Grade,60.0,Local Companies,Other,2350
65,GI,Local,GCRF,0.5,484.0,Normal Grade,60.0,Local Companies,Other,2630
66,CR,Local,CRRF,0.6,500.0,Special Grade,0.0,Local Companies,Other,2890
67,CR,Local,CRRF,0.6,470.0,Special Grade,0.0,Local Companies,Other,2890
69,PP,Export,POCF,0.45,1250.0,Normal Grade,100.0,Export Near,Other,2650
70,PP,Export,POCF,0.6,1250.0,Normal Grade,100.0,Export Near,Other,2650
72,GI,Export,GCRF,1.5,280.0,Normal Grade,275.0,Export Near,Other,2910
73,GI,Export,GCRF,1.8,280.0,Normal Grade,275.0,Export Near,Other,2910
74,GI,Export,GHRF,1.9,280.0,Normal Grade,275.0,Export Near,Other,2910
77,GI,Local,GCCF,1.0,1250.0,Special Grade,60.0,Local Companies,Other,2410
78,GI,Local,GCCF,1.0,1250.0,Special Grade,275.0,Local Companies,Other,2610
80,PP,Local,POGF,0.7,1219.0,Special Grade,180.0,Local Companies,EXW,2470
81,GI,Local,GCCF,0.7,1250.0,Normal Grade,275.0,Local Companies,EXW,1950
82,GI,Local,GCCF,1.0,1250.0,Normal Grade,275.0,Local Companies,EXW,1950
83,GI,Local,GCCF,1.2,1244.0,Normal Grade,275.0,Local Companies,EXW,1950
85,PP,Local,POPF,1.1400000000000001,1250.0,Normal Grade,80.0,Local Companies,EXW,2090
86,PP,Local,PORF,0.45,338.0,Normal Grade,100.0,Local Companies,EXW,2550
88,GI,Export,GCCF,1.1400000000000001,1250.0,Normal Grade,140.0,Export Near,Other,2310
89,PP,Local,PONF,0.4,810.5,Normal Grade,100.0,Local Companies,EXW,2090
90,PP,Local,PONF,0.4,737.5,Normal Grade,100.0,Local Companies,Other,2490
91,PP,Local,PONF,0.4,835.0,Normal Grade,100.0,Local Companies,EXW,2090
92,GI,Local,GCCF,1.5,1000.0,Normal Grade,80.0,Local Companies,EXW,1630
94,GI,Local,GCCF,0.7,1250.0,Normal Grade,275.0,Local Companies,Other,2430
95,GI,Local,GCCF,1.2,1250.0,Normal Grade,275.0,Local Companies,Other,2430
97,GI,Local,GCCF,0.8,1250.0,Normal Grade,275.0,Local Companies,EXW,1950
99,GI,Local,GCCF,1.1400000000000001,1250.0,Normal Grade,275.0,Local Companies,EXW,1750
102,GI,Export,GHCF,1.1400000000000001,1250.0,Normal Grade,100.0,Export Near,Other,2310
103,GI,Export,GCCF,0.8,1250.0,Special Grade,140.0,Export Near,Other,2690
104,GI,Local,GCCF,0.8,1250.0,Normal Grade,275.0,Local Companies,EXW,2030
105,GI,Local,GCCF,1.0,1250.0,Normal Grade,275.0,Local Companies,EXW,2030
106,GI,Local,GCCF,1.2,1250.0,Normal Grade,275.0,Local Companies,EXW,2030
107,CR,Export,CRCF,0.45,1000.0,Normal Grade,0.0,Export Near,Other,2510
108,CR,Export,CRCF,0.55,1000.0,Normal Grade,0.0,Export Near,Other,2510
109,CR,Export,CRCF,0.65,1000.0,Normal Grade,0.0,Export Near,Other,2510
110,CR,Local,CRRF,0.6,500.0,Special Grade,0.0,Local Companies,EXW,2490
112,CR,Local,CRRF,0.5,585.0,Normal Grade,0.0,Local Companies,EXW,2310
113,GI,Local,GCRF,0.5,484.0,Normal Grade,60.0,Local Companies,EXW,2230
115,CR,Local,CRNF,0.7,745.0,Normal Grade,0.0,Local Companies,EXW,2030
116,CR,Local,CRRF,0.6,530.0,Normal Grade,0.0,Local Companies,EXW,2310
117,CR,Local,CRRF,0.6,1160.0,Special Grade,0.0,Local Companies,EXW,2490
118,CR,Local,CRNF,0.5,625.0,Normal Grade,0.0,Local Companies,EXW,2030
122,PP,Local,POGF,0.4,1250.0,Normal Grade,120.0,Local Companies,EXW,2290
123,CR,Local,CRNF,1.6,724.0,Special Grade,0.0,Local Companies,EXW,2010
124,CR,Local,CRRF,0.8,574.0,Special Grade,0.0,Local Companies,EXW,2490
126,CR,Export,CRNF,0.78,915.0,Normal Grade,0.0,Export Far,Other,3250
127,CR,Local,CRRF,1.1600000000000001,535.0,Normal Grade,0.0,Local Companies,Other,2430
128,PP,Local,POGF,0.5,1250.0,Normal Grade,120.0,Local Companies,EXW,2290
129,PP,Local,POGF,0.5,1250.0,Normal Grade,180.0,Local Companies,EXW,2290
130,PP,Local,POPF,0.5,1250.0,Normal Grade,180.0,Local Companies,EXW,2290
132,PP,Export,POCF,0.25,975.0,Normal Grade,80.0,Export Far,Other,3390
133,PP,Local,PONF,0.5,733.0,Normal Grade,100.0,Local Companies,Other,2490
134,CR,Local,CRCF,0.5,1250.0,Special Grade,0.0,Local Companies,EXW,2090
135,GI,Local,GCSF,1.5,1000.0,Normal Grade,80.0,Local Companies,EXW,1810
136,GI,Local,GHCF,2.0,1250.0,Normal Grade,180.0,Local Companies,EXW,1630
138,GI,Local,GCCF,1.0,1200.0,Normal Grade,80.0,Local Traders,EXW,1630
139,CR,Local,CRSF,0.8,1000.0,Special Grade,0.0,Local Companies,EXW,2270
140,GI,Local,GCCF,1.5,1250.0,Normal Grade,275.0,Local Companies,EXW,1750
142,GI,Local,GCCF,1.2,1250.0,Special Grade,80.0,Local Companies,Other,2410
145,PP,Local,POCF,0.5,1250.0,Normal Grade,120.0,Local Traders,EXW,1770
148,PP,Local,POCF,0.5,1250.0,Normal Grade,80.0,Local Traders,EXW,1770
149,PP,Local,POCF,1.1400000000000001,1250.0,Normal Grade,80.0,Local Traders,EXW,1570
151,GI,Export,GCSF,0.4,1220.0,Normal Grade,120.0,Export Far,Other,3310
152,GI,Export,GCSF,1.2,1220.0,Normal Grade,120.0,Export Far,Other,3310
153,GI,Export,GCSF,0.6,1220.0,Normal Grade,120.0,Export Far,EXW,3150
154,PP,Local,POCF,0.5,1250.0,Normal Grade,180.0,Local Companies,EXW,1890
156,GI,Export,GCCF,0.9,1000.0,Normal Grade,100.0,Export Near,Other,2510
157,GI,Export,GCNF,0.5,605.0,Normal Grade,120.0,Export Far,Other,3170
158,GI,Export,GCRF,1.2,353.6,Normal Grade,120.0,Export Far,Other,3450
159,CR,Export,CRCF,1.25,1250.0,Normal Grade,0.0,Export Near,Other,2390
160,Other,Local,ABCF,0.85,1250.0,Normal Grade,0.0,Local Traders,EXW,1570
161,Other,Local,ABCF,0.9,1250.0,Normal Grade,0.0,Local Traders,EXW,1570
163,GI,Local,GCNF,1.2,608.0,Normal Grade,80.0,Local Companies,EXW,1950
164,GI,Local,GCRF,0.5,296.0,Normal Grade,80.0,Local Companies,EXW,2230
165,CR,Local,CRNF,0.5,1150.0,Normal Grade,0.0,Local Companies,EXW,2030
166,GI,Local,GCCF,0.3,1250.0,Normal Grade,80.0,Local Companies,EXW,2030
167,Other,Export,ABCF,0.8,1250.0,Normal Grade,0.0,Export Near,EXW,2310
168,GI,Export,GCCF,1.24,1250.0,Normal Grade,140.0,Export Near,Other,2310
172,PP,Local,POGF,0.5,1250.0,Normal Grade,120.0,Local Traders,EXW,2170
175,PP,Local,POCF,0.4,1250.0,Normal Grade,120.0,Local Companies,EXW,1970
176,PP,Local,POCF,0.5,1250.0,Normal Grade,120.0,Local Companies,EXW,1970
177,GI,Export,GCCF,1.2,1250.0,Normal Grade,100.0,Export Near,FOB,2190
178,GI,Export,GCCF,1.6,1250.0,Normal Grade,100.0,Export Near,FOB,1990
180,GI,Export,GHCF,1.9,1250.0,Normal Grade,100.0,Export Near,FOB,1990
181,PP,Local,PORF,0.4,595.0,Normal Grade,80.0,Local Companies,EXW,2370
182,PP,Local,PORF,0.4,565.0,Normal Grade,80.0,Local Companies,Other,2770
183,PP,Local,PONF,0.4,918.6,Normal Grade,80.0,Local Companies,Other,2490
184,GI,Local,GCCF,1.0,1250.0,Normal Grade,330.0,Local Companies,EXW,1950
186,GI,Local,GCCF,0.8,1250.0,Normal Grade,330.0,Local Companies,EXW,1950
191,GI,Local,GCCF,1.0,1250.0,Special Grade,80.0,Local Companies,Other,2410
197,GI,Local,GCCF,0.7,1250.0,Normal Grade,275.0,Local Companies,EXW,2030
199,PP,Local,POSF,0.5,617.0,Normal Grade,60.0,Local Companies,Other,2630
200,PP,Local,POSF,0.5,695.0,Normal Grade,60.0,Local Companies,Other,2630
201,PP,Local,POSF,0.5,627.0,Normal Grade,60.0,Local Companies,Other,2630
202,PP,Local,POSF,0.5,747.0,Normal Grade,60.0,Local Companies,EXW,2230
204,PP,Local,POSF,0.5,731.0,Normal Grade,60.0,Local Companies,Other,2630
205,GI,Export,GCCF,0.4,1200.0,Normal Grade,120.0,Export Far,Other,3050
209,CR,Local,CRSF,1.6,1250.0,Normal Grade,0.0,Local Companies,Other,2370
211,GI,Local,GCCF,0.55,1250.0,Normal Grade,275.0,Local Companies,EXW,1950
212,GI,Local,GHSF,2.0,1250.0,Normal Grade,110.0,Local Companies,Other,2290
215,GI,Local,GCCF,0.8,1250.0,Normal Grade,275.0,Local Traders,EXW,1830
216,GI,Local,GCCF,1.2,1244.0,Normal Grade,275.0,Local Traders,EXW,1830
217,PP,Local,POCF,0.7,1200.0,Normal Grade,275.0,Local Companies,EXW,2090
218,GI,Local,GCSF,0.6,734.8,Normal Grade,100.0,Local Companies,Other,2490
220,PP,Local,PORF,0.45,388.0,Normal Grade,100.0,Local Companies,EXW,2550
221,CR,Export,CRCF,0.45,1000.0,Normal Grade,0.0,Export Far,Other,3130
222,CR,Export,CRCF,0.5,1150.0,Normal Grade,0.0,Export Far,Other,3130
223,CR,Export,CRCF,0.7,1000.0,Normal Grade,0.0,Export Far,Other,3130
224,CR,Export,CRCF,0.8,1000.0,Normal Grade,0.0,Export Far,Other,3130
225,CR,Export,CRCF,0.45,1250.0,Normal Grade,0.0,Export Far,Other,3130
226,Other,Export,ABCF,0.9,1250.0,Normal Grade,0.0,Export Near,Other,2370
227,Other,Export,ABCF,0.9,1000.0,Normal Grade,0.0,Export Near,EXW,2210
235,Other,Export,ABCF,0.9,484.0,Normal Grade,0.0,Export Near,Other,2370
236,Other,Export,ABCF,1.15,1000.0,Normal Grade,0.0,Export Near,Other,2370
237,Other,Export,ABCF,1.15,1250.0,Normal Grade,0.0,Export Near,Other,2370
238,CR,Local,CRSF,2.0,1250.0,Normal Grade,0.0,Local Companies,EXW,1890
239,GI,Local,GCPF,2.0,1250.0,Normal Grade,275.0,Local Companies,EXW,2150
240,PP,Local,PLGF,0.55,1250.0,Normal Grade,60.0,Local Companies,EXW,2290
241,GI,Export,GCCF,1.0,1219.0,Normal Grade,120.0,Export Far,Other,3050
242,GI,Export,GCCF,1.2,1219.0,Normal Grade,120.0,Export Far,Other,3050
243,GI,Export,GCCF,1.8,1219.0,Normal Grade,120.0,Export Far,Other,2850
244,CR,Local,CRCF,2.0,1250.0,Normal Grade,0.0,Local Companies,Other,2110
245,PP,Local,PORF,0.7,310.0,Normal Grade,100.0,Local Companies,Other,2770
246,PP,Local,PORF,0.7,314.0,Normal Grade,100.0,Local Companies,EXW,2370
248,GI,Export,GCCF,1.8,1070.0,Special Grade,275.0,Export Near,Other,2610
249,GI,Export,GHCF,2.0,1219.0,Special Grade,275.0,Export Near,Other,2610
250,GI,Export,GHCF,2.0,1070.0,Special Grade,275.0,Export Near,Other,2610
254,GI,Export,GHCF,1.06,1070.0,Special Grade,275.0,Export Near,Other,2610
255,GI,Export,GCCF,0.75,1000.0,Normal Grade,200.0,Export Far,Other,3050
259,CR,Local,CRCF,0.47,1000.0,Normal Grade,0.0,Local Traders,EXW,1710
260,CR,Local,CRCF,0.47,1250.0,Normal Grade,0.0,Local Traders,EXW,1710
261,CR,Local,CRCF,0.74,1219.0,Normal Grade,0.0,Local Traders,EXW,1710
262,CR,Local,CRCF,1.2,1000.0,Normal Grade,0.0,Local Traders,EXW,1710
263,CR,Local,CRCF,1.2,1250.0,Normal Grade,0.0,Local Traders,EXW,1710
264,CR,Local,CRCF,1.5,1250.0,Normal Grade,0.0,Local Traders,EXW,1510
265,GI,Local,GCCF,0.35,1220.0,Normal Grade,80.0,Local Companies,Other,2610
266,GI,Local,GCCF,0.4,1250.0,Special Grade,110.0,Local Companies,Other,2410
272,PP,Local,POSF,0.5,665.0,Normal Grade,60.0,Local Companies,EXW,2230
274,PP,Local,POSF,0.5,759.0,Normal Grade,60.0,Local Companies,EXW,2230
276,PP,Local,POSF,0.5,759.0,Normal Grade,60.0,Local Companies,Other,2630
278,PP,Local,POSF,0.5,645.0,Normal Grade,60.0,Local Companies,Other,2630
284,PP,Local,POSF,0.44000000000000006,695.0,Normal Grade,60.0,Local Companies,Other,2430
285,PP,Local,POSF,0.5,724.5,Normal Grade,60.0,Local Companies,Other,2630
288,PP,Local,POSF,0.5,661.0,Normal Grade,60.0,Local Companies,Other,2630
290,PP,Local,POSF,0.43999999999999995,661.0,Normal Grade,60.0,Local Companies,Other,2430
291,PP,Local,POSF,0.48,625.0,Normal Grade,60.0,Local Companies,Other,2430
292,PP,Local,POSF,0.5,624.0,Normal Grade,60.0,Local Companies,Other,2630
298,PP,Local,POSF,0.5,1150.0,Normal Grade,60.0,Local Companies,Other,2630
300,GI,Local,GHCF,2.0,1000.0,Normal Grade,60.0,Local Traders,EXW,1430
301,GI,Local,GHCF,2.0,1250.0,Normal Grade,60.0,Local Traders,EXW,1430
302,GI,Local,GCCF,0.7,1250.0,Normal Grade,60.0,Local Traders,EXW,1630
304,GI,Local,GHCF,1.1400000000000001,1250.0,Normal Grade,275.0,Local Traders,EXW,1630
306,GI,Local,GCCF,0.5,1000.0,Normal Grade,60.0,Local Traders,EXW,1630
307,GI,Local,GCCF,0.7,1000.0,Normal Grade,60.0,Local Traders,EXW,1630
308,GI,Local,GCCF,0.8,1250.0,Normal Grade,60.0,Local Traders,EXW,1630
309,GI,Local,GCCF,1.0,1200.0,Normal Grade,60.0,Local Traders,EXW,1630
310,GI,Local,GCCF,1.25,1150.0,Normal Grade,60.0,Local Traders,EXW,1430
311,GI,Local,GCPF,0.7,1250.0,Normal Grade,275.0,Local Companies,EXW,2350
312,GI,Local,GCPF,0.8,1250.0,Normal Grade,275.0,Local Companies,EXW,2350
313,GI,Local,GCPF,1.0,1250.0,Normal Grade,275.0,Local Companies,EXW,2350
316,GI,Local,GCPF,1.2,1250.0,Normal Grade,275.0,Local Companies,EXW,2350
317,GI,Local,GCPF,1.5,1250.0,Normal Grade,275.0,Local Companies,EXW,2150
321,Other,Export,ABCF,1.5,1250.0,Normal Grade,0.0,Export Near,Other,2170
322,PP,Local,POGF,1.1400000000000001,1250.0,Normal Grade,180.0,Local Companies,EXW,2090
323,PP,Local,PONF,0.5,680.0,Normal Grade,100.0,Local Companies,Other,2490
324,PP,Local,POSF,0.5,683.0,Normal Grade,100.0,Local Companies,Other,2630
326,PP,Local,PONF,0.5,655.0,Normal Grade,100.0,Local Companies,Other,2490
328,PP,Local,PONF,0.5,604.0,Normal Grade,100.0,Local Companies,EXW,2090
331,PP,Local,PORF,0.4,578.0,Normal Grade,100.0,Local Companies,Other,2770
332,PP,Local,PORF,0.4,588.0,Normal Grade,100.0,Local Companies,Other,2770
334,PP,Local,PONF,0.4,835.0,Normal Grade,100.0,Local Companies,Other,2490
335,PP,Local,PONF,0.4,810.5,Normal Grade,100.0,Local Companies,Other,2490
338,GI,Local,GCCF,0.6,1000.0,Normal Grade,60.0,Local Traders,EXW,1630
